method,core_n,n
metis,25228,62518
metis,25301,63672
metis,26087,65435
metis,25655,63408
metis,24797,62453
metis,24920,63723
metis,25310,63183
metis,25314,63153
grid,25827,68812
grid,25285,67334
grid,25525,67328
grid,25146,66829
grid,25601,67476
grid,25172,66840
grid,25174,66829
grid,24882,66643
metis_unweighted,24861,61023
metis_unweighted,25335,62538
metis_unweighted,25377,63207
metis_unweighted,24939,60896
metis_unweighted,25338,63583
metis_unweighted,25949,64229
metis_unweighted,25405,62423
metis_unweighted,25408,62545
metis,26043,51710
metis,26169,53441
metis,27156,54445
metis,26651,53187
metis,26402,52202
metis,25641,53309
metis,26489,54545
metis,26361,51911
grid,26637,76418
grid,26299,75942
grid,26442,75512
grid,26104,74987
grid,26598,76380
grid,26260,75894
grid,26455,76240
grid,26117,75752
metis_unweighted,26180,52858
metis_unweighted,26884,54755
metis_unweighted,26334,54564
metis_unweighted,26885,53674
metis_unweighted,25720,51796
metis_unweighted,25607,51750
metis_unweighted,26409,51870
metis_unweighted,26893,51824
metis,25999,41642
metis,25487,41406
metis,26310,41997
metis,25848,41856
metis,26379,42218
metis,25351,41596
metis,26353,41968
metis,25633,41443
grid,26250,75671
grid,26166,75510
grid,25957,75085
grid,25883,74941
grid,25961,75582
grid,25879,75411
grid,25671,75061
grid,25593,74821
metis_unweighted,25920,42048
metis_unweighted,25920,42048
metis_unweighted,25920,42048
metis_unweighted,25920,42048
metis_unweighted,25920,42048
metis_unweighted,25920,42048
metis_unweighted,25920,42048
metis_unweighted,25920,42048
metis,26768,64222
metis,26717,65403
metis,26759,65811
metis,26728,64769
metis,26827,65323
metis,26735,65932
metis,27128,65468
metis,26713,65267
grid,28836,74462
grid,27864,72522
grid,27234,71324
grid,26316,69461
grid,27234,71324
grid,26316,69461
grid,25721,68314
grid,24854,66525
metis_unweighted,26799,64453
metis_unweighted,26808,66132
metis_unweighted,26800,66120
metis_unweighted,26793,66122
metis_unweighted,26792,66373
metis_unweighted,26792,64651
metis_unweighted,26795,66723
metis_unweighted,26796,65794
metis,26782,64869
metis,27910,65224
metis,26645,62580
metis,27266,63352
metis,28042,65918
metis,27387,64292
metis,27224,63638
metis,28264,66045
grid,27446,70126
grid,27449,70258
grid,27497,70459
grid,27483,70638
grid,27434,69904
grid,27431,70512
grid,27383,70251
grid,27397,70476
metis_unweighted,27838,64318
metis_unweighted,27025,64479
metis_unweighted,26966,64263
metis_unweighted,27802,64573
metis_unweighted,27737,65619
metis_unweighted,27424,65234
metis_unweighted,26997,63473
metis_unweighted,27731,64483
metis,26771,62621
metis,27563,62984
metis,27560,63476
metis,27818,63596
metis,26811,62537
metis,28264,64176
metis,26820,61713
metis,27913,64078
grid,27860,71940
grid,27566,71112
grid,27650,71544
grid,27356,70694
grid,27433,70040
grid,27139,69170
grid,27405,70034
grid,27111,69159
metis_unweighted,26974,61609
metis_unweighted,27079,62085
metis_unweighted,27952,63190
metis_unweighted,27959,62549
metis_unweighted,26918,61755
metis_unweighted,27859,63937
metis_unweighted,26824,61420
metis_unweighted,27955,63808
metis,28818,55729
metis,28949,56124
metis,29254,56763
metis,29976,57870
metis,28507,55765
metis,30036,58355
metis,29037,56434
metis,28703,56485
grid,29358,72748
grid,29196,72609
grid,29205,72866
grid,29043,72719
grid,29259,72644
grid,29097,72477
grid,29142,72792
grid,28980,72658
metis_unweighted,29033,57151
metis_unweighted,29927,57958
metis_unweighted,29165,57023
metis_unweighted,29162,57440
metis_unweighted,28997,57643
metis_unweighted,29453,57900
metis_unweighted,29234,57575
metis_unweighted,28309,56326
metis,26952,60431
metis,27182,61815
metis,28478,64332
metis,27566,62394
metis,28382,63507
metis,27171,61227
metis,28478,64144
metis,26975,61498
grid,27852,68469
grid,27567,67484
grid,27735,68470
grid,27444,67484
grid,27852,68469
grid,27561,67484
grid,27729,68468
grid,27444,67484
metis_unweighted,27648,61309
metis_unweighted,27643,61994
metis_unweighted,27652,62305
metis_unweighted,27652,61921
metis_unweighted,27641,62715
metis_unweighted,27651,61664
metis_unweighted,27652,62397
metis_unweighted,27645,62573
metis,27444,57945
metis,27826,60795
metis,28014,59173
metis,28264,58936
metis,27668,58699
metis,26989,58159
metis,26646,57163
metis,26669,59183
grid,27636,67290
grid,27244,67127
grid,27650,67297
grid,27258,67134
grid,27692,67325
grid,27300,67167
grid,27566,67284
grid,27174,67121
metis_unweighted,27444,57732
metis_unweighted,27440,59139
metis_unweighted,27416,59618
metis_unweighted,27441,58020
metis_unweighted,27455,59969
metis_unweighted,27427,58569
metis_unweighted,27447,59906
metis_unweighted,27450,57731
metis,26556,57583
metis,28165,60906
metis,26875,59130
metis,26548,58520
metis,27653,60242
metis,27677,60344
metis,27111,59376
metis,28165,61606
grid,27643,77247
grid,27627,78973
grid,27568,76968
grid,27454,79045
grid,27292,77148
grid,26991,77762
grid,27150,77083
grid,27025,77896
metis_unweighted,26926,59306
metis_unweighted,27657,60380
metis_unweighted,27713,59495
metis_unweighted,27406,59969
metis_unweighted,27369,60804
metis_unweighted,27395,60017
metis_unweighted,26874,59753
metis_unweighted,27410,59993
