method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,145670,60750,0.5829614882954623,31645,0.0,0.0,7821,7374,7593.75,174.54207945363777,227.25,19608,16896,18208.75,1167.0218239176163,1399.25
grid,231876,60750,0.7380065207265952,58721,0.0,0.0,7623,7573,7593.75,16.880091824394796,29.25,29291,28754,28984.5,171.9273102215003,306.5
metis_unweighted,151014,60750,0.5977194167428186,32444,0.0,0.0,7821,7437,7593.75,151.6795553131667,227.25,19728,16957,18876.75,1055.3385416538144,851.25
metis,270783,60480,0.7766477216073387,141093,0.0,0.0,7787,7339,7560.0,153.32155751883033,227.0,34832,32925,33847.875,652.0384263024688,984.125
grid,310670,60480,0.8053239772105449,164489,0.0,0.0,7608,7503,7560.0,39.17588543989785,48.0,39022,38680,38833.75,125.15765058517198,188.25
metis_unweighted,267883,60480,0.7742297943505188,139414,0.0,0.0,7787,7414,7560.0,137.82234942127494,227.0,34342,32763,33485.375,561.0233813086581,856.625
metis,160487,62208,0.6123798189261436,61089,0.0,0.0,8009,7549,7776.0,226.62634445271362,233.0,20694,19560,20060.875,374.80909724151576,633.125
grid,231348,62208,0.7311063851859536,87802,0.0,0.0,7920,7632,7776.0,88.18163074019441,144.0,29465,28361,28918.5,357.46013763775113,546.5
metis_unweighted,161949,62208,0.615879073041513,60189,0.0,0.0,8009,7549,7776.0,224.27940164000796,233.0,21222,19515,20243.625,724.5865954977362,978.375
metis,153051,55566,0.6369445478957995,29139,0.0,0.0,6962,6934,6945.75,8.272696053887149,16.25,19496,18235,19131.375,382.5065154673839,364.625
grid,156974,55566,0.6460178118669334,32986,0.0,0.0,7623,6310,6945.75,422.475664979653,677.25,21084,18174,19621.75,881.1771601102697,1462.25
metis_unweighted,149008,55566,0.6270938473102116,29026,0.0,0.0,6961,6936,6945.75,7.725768570181222,15.25,19169,17747,18626.0,440.06192746021554,543.0
metis,108312,53946,0.501938843341458,40126,0.0,0.0,6868,6623,6743.25,80.93786196830257,124.75,13680,13413,13539.0,92.71731229926803,141.0
grid,227287,53946,0.7626525054226595,87799,0.0,0.0,6896,6591,6743.25,116.21504850921846,152.75,28688,28085,28410.875,182.1341795902131,277.125
metis_unweighted,108200,53946,0.5014232902033272,39883,0.0,0.0,6945,6554,6743.25,105.56011320569905,201.75,13688,13287,13525.0,108.78419002777932,163.0
metis,174188,57344,0.6707924770937148,41080,0.0,0.0,7318,6973,7168.0,111.64900357817798,150.0,22149,21474,21773.5,207.05494439882375,375.5
grid,192338,57344,0.7018581871497052,51862,0.0,0.0,7176,7159,7168.0,4.847679857416329,8.0,24064,24023,24042.25,11.344051304538427,21.75
metis_unweighted,176645,57344,0.6753715078264315,42000,0.0,0.0,7280,6993,7168.0,84.32229835577301,112.0,22528,21487,22080.625,324.26568485579844,447.375
metis,198773,55902,0.7187646209495253,124639,0.0,0.0,7144,6783,6987.75,140.22548805406242,156.25,25345,24180,24846.625,398.20972410904284,498.375
grid,280928,55902,0.8010095113338649,178191,0.0,0.0,7094,6864,6987.75,79.17504341647057,106.25,35421,34761,35116.0,231.25202701814314,305.0
metis_unweighted,196974,55902,0.7161960461786835,121864,0.0,0.0,7197,6839,6987.75,126.27128533439422,209.25,25041,23888,24621.75,345.419943691733,419.25
metis,149840,56000,0.6262680192205019,36316,0.0,0.0,7191,6847,7000.0,117.41379816699569,191.0,18959,18538,18730.0,149.26988979697146,229.0
grid,194332,56000,0.7118333573472202,49127,0.0,0.0,7040,6950,7000.0,30.0,40.0,24406,24149,24291.5,96.75872053722082,114.5
metis_unweighted,151022,56000,0.6291930976943757,36590,0.0,0.0,7189,6888,7000.0,104.65419246260515,189.0,19253,18586,18877.75,259.7348407511014,375.25
metis,181137,51840,0.7138077808509581,105131,0.0,0.0,6674,6343,6480.0,97.73561275195445,194.0,23119,22224,22642.125,305.9952767200827,476.875
grid,248056,51840,0.7910149321121037,143524,0.0,0.0,6780,6204,6480.0,176.77103835187484,300.0,31917,30403,31007.0,468.6827285061825,910.0
metis_unweighted,180131,51840,0.7122094475687138,105356,0.0,0.0,6625,6343,6480.0,114.11178729649274,145.0,23048,22149,22516.375,286.95685106823987,531.625
metis,190490,52136,0.7263058428263951,76771,0.0,0.0,6686,6326,6517.0,118.40819228414898,169.0,24334,23215,23811.25,357.21063464012377,522.75
grid,257619,52136,0.7976236224812611,137423,0.0,0.0,6520,6515,6517.0,1.4142135623730951,3.0,32224,32193,32202.375,11.999348940671739,21.625
metis_unweighted,189542,52136,0.724936953287398,77368,0.0,0.0,6712,6326,6517.0,137.05108536600503,195.0,24171,23142,23692.75,303.684766657796,478.25
