method,core_n,n
metis,132247,191939
metis,133179,193691
metis,133464,194440
metis,134672,194040
metis,133693,194701
metis,133278,194321
metis,134018,195875
metis,133191,195254
grid,133536,256496
grid,133497,256060
grid,133421,255286
grid,133423,255567
grid,133425,255779
grid,133417,255483
grid,133495,255842
grid,133528,256265
metis_unweighted,133398,195127
metis_unweighted,133553,195079
metis_unweighted,133510,196418
metis_unweighted,133508,196199
metis_unweighted,133905,195101
metis_unweighted,133166,195015
metis_unweighted,133930,195524
metis_unweighted,132772,195484
metis,130470,265719
metis,130325,266381
metis,129024,262496
metis,131919,266744
metis,128216,261505
metis,130988,262303
metis,129781,268864
metis,131962,267377
grid,130413,291618
grid,129740,289639
grid,130701,291928
grid,130012,290300
grid,130762,293276
grid,130009,290089
grid,130908,292233
grid,130140,289762
metis_unweighted,133830,267290
metis_unweighted,127978,263114
metis_unweighted,130991,267888
metis_unweighted,130019,264167
metis_unweighted,129943,264257
metis_unweighted,129213,261835
metis_unweighted,130022,261099
metis_unweighted,130689,261887
metis,133786,211222
metis,133805,209921
metis,133447,211180
metis,134552,212297
metis,133343,210891
metis,135212,212492
metis,133839,211651
metis,134492,212801
grid,135114,250693
grid,134586,248322
grid,134462,249159
grid,133998,247301
grid,133997,247368
grid,133502,245208
grid,133626,246762
grid,133191,245079
metis_unweighted,134207,211134
metis_unweighted,134211,211522
metis_unweighted,134058,211328
metis_unweighted,134106,211842
metis_unweighted,133513,209414
metis_unweighted,134526,212158
metis_unweighted,134355,211176
metis_unweighted,133500,211546
metis,131707,202722
metis,131709,201089
metis,131710,206480
metis,131716,202766
metis,131714,203011
metis,131712,202712
metis,131714,202098
metis,131714,202454
grid,135096,212658
grid,135125,212719
grid,133088,207160
grid,132947,207487
grid,130344,205698
grid,130371,205753
grid,128432,200808
grid,128293,201123
metis_unweighted,131711,203774
metis_unweighted,131710,201637
metis_unweighted,131706,202175
metis_unweighted,131714,201038
metis_unweighted,131712,204767
metis_unweighted,131714,202707
metis_unweighted,131715,203571
metis_unweighted,131714,200283
metis,128076,176557
metis,128465,176948
metis,128066,176674
metis,127980,176631
metis,126432,174991
metis,128310,177244
metis,128470,177153
metis,127177,176564
grid,128304,250306
grid,128016,249723
grid,128016,249623
grid,127728,249040
grid,128016,248866
grid,127728,248259
grid,127728,248183
grid,127440,247576
metis_unweighted,127881,176501
metis_unweighted,127878,176433
metis_unweighted,127887,176461
metis_unweighted,127890,176532
metis_unweighted,127893,176339
metis_unweighted,127895,176453
metis_unweighted,127779,176457
metis_unweighted,127873,176577
metis,129741,213837
metis,131012,219829
metis,128168,212683
metis,131015,220738
metis,127967,215543
metis,130199,216275
metis,128620,217338
metis,130510,214023
grid,130060,226886
grid,129385,225826
grid,130050,226852
grid,129401,225829
grid,129895,226650
grid,129299,225632
grid,129940,226761
grid,129202,225684
metis_unweighted,129802,214640
metis_unweighted,131321,217046
metis_unweighted,132074,218093
metis_unweighted,128621,213081
metis_unweighted,128627,213601
metis_unweighted,129528,214438
metis_unweighted,128618,213247
metis_unweighted,128641,212844
metis,130511,234739
metis,127205,231147
metis,126787,232048
metis,128930,234640
metis,127776,235659
metis,127910,230859
metis,127832,230529
metis,127387,231238
grid,128501,279761
grid,128396,279857
grid,128139,279644
grid,127974,279581
grid,128120,278802
grid,128022,278953
grid,127670,278012
grid,127516,278023
metis_unweighted,128608,234711
metis_unweighted,127187,233072
metis_unweighted,128883,232551
metis_unweighted,126541,232518
metis_unweighted,128619,233256
metis_unweighted,127140,233281
metis_unweighted,127537,231801
metis_unweighted,129823,237275
metis,136163,211782
metis,137964,217121
metis,137963,215958
metis,137995,217517
metis,138057,214609
metis,138931,216984
metis,137123,215208
metis,138052,216924
grid,137992,242909
grid,137656,242040
grid,137930,242085
grid,137559,241303
grid,138056,242496
grid,137690,241450
grid,137875,242678
grid,137490,241806
metis_unweighted,137646,215398
metis_unweighted,137806,214824
metis_unweighted,138497,214910
metis_unweighted,138196,219651
metis_unweighted,136797,215167
metis_unweighted,136518,212994
metis_unweighted,139152,215760
metis_unweighted,137636,216922
metis,135019,238029
metis,135215,238604
metis,135003,238749
metis,134915,241551
metis,132917,233771
metis,134648,237237
metis,135724,241344
metis,134669,238430
grid,136695,280697
grid,135555,278494
grid,135588,277455
grid,134484,275396
grid,135027,277216
grid,133956,276378
grid,133923,274330
grid,132882,273459
metis_unweighted,133875,236173
metis_unweighted,135240,240486
metis_unweighted,134235,236105
metis_unweighted,134965,237740
metis_unweighted,135255,235672
metis_unweighted,134784,237906
metis_unweighted,134894,239821
metis_unweighted,134862,237343
metis,130280,238467
metis,130288,240048
metis,130730,237092
metis,129602,238138
metis,130276,240219
metis,130278,237710
metis,131906,240670
metis,129208,235912
grid,130341,273841
grid,130311,273831
grid,130394,274056
grid,130296,273878
grid,130378,273993
grid,130262,273782
grid,130374,274025
grid,130212,273744
metis_unweighted,130838,237883
metis_unweighted,129756,237337
metis_unweighted,130517,240962
metis_unweighted,130791,237341
metis_unweighted,128105,236602
metis_unweighted,131143,240249
metis_unweighted,130108,238590
metis_unweighted,131310,240838
metis,141940,188520
metis,141713,188022
metis,141876,188545
metis,141158,187482
metis,140986,187195
metis,142131,188926
metis,142729,189253
metis,141035,187905
grid,142108,271872
grid,141742,271871
grid,141605,271761
grid,141436,271774
grid,141943,271857
grid,141531,271835
grid,141704,271801
grid,141499,271809
metis_unweighted,140999,187097
metis_unweighted,142413,188529
metis_unweighted,141701,187906
metis_unweighted,141520,187956
metis_unweighted,141872,188371
metis_unweighted,141425,188023
metis_unweighted,141332,187467
metis_unweighted,142306,188676
metis,125025,216577
metis,125032,214101
metis,125022,216716
metis,125022,217198
metis,125013,218647
metis,125033,218219
metis,125022,217424
metis,125019,218233
grid,125883,245755
grid,124385,242113
grid,125816,244728
grid,124418,242282
grid,125555,244468
grid,124385,242393
grid,125335,245258
grid,124411,243659
metis_unweighted,125030,216177
metis_unweighted,125021,217772
metis_unweighted,125007,217079
metis_unweighted,125031,217286
metis_unweighted,125027,216571
metis_unweighted,125024,217111
metis_unweighted,125024,217672
metis_unweighted,125024,217072
metis,131673,241540
metis,134102,247095
metis,134046,246207
metis,134778,246964
metis,134397,245900
metis,130962,244622
metis,133524,250063
metis,134260,245512
grid,135378,274760
grid,133059,269182
grid,134619,272512
grid,132336,267299
grid,134619,272594
grid,132336,267380
grid,133818,270132
grid,131577,265547
metis_unweighted,133841,247140
metis_unweighted,134411,244052
metis_unweighted,133237,246311
metis_unweighted,133950,245226
metis_unweighted,133544,245833
metis_unweighted,131867,242444
metis_unweighted,133102,245196
metis_unweighted,133790,245196
metis,132403,253848
metis,133190,258362
metis,136501,266540
metis,132028,261998
metis,133824,262536
metis,132522,263150
metis,134040,258914
metis,133234,254361
grid,134634,287351
grid,133797,286235
grid,133829,285880
grid,133108,284466
grid,133881,285762
grid,133080,284442
grid,133048,283703
grid,132365,282304
metis_unweighted,132436,252315
metis_unweighted,135415,257782
metis_unweighted,133047,252857
metis_unweighted,132376,253495
metis_unweighted,134603,256980
metis_unweighted,132774,252990
metis_unweighted,131677,254923
metis_unweighted,135414,254728
metis,131009,229828
metis,129726,232298
metis,132804,234089
metis,131238,233150
metis,130963,232658
metis,131863,231407
metis,131234,228465
metis,129739,231169
grid,131600,271509
grid,131104,271476
grid,131568,271401
grid,131040,271278
grid,131088,270652
grid,130592,270619
grid,131056,270544
grid,130528,270421
metis_unweighted,130520,229752
metis_unweighted,131703,234184
metis_unweighted,131276,232945
metis_unweighted,131385,230963
metis_unweighted,130828,230216
metis_unweighted,130807,230553
metis_unweighted,131030,228583
metis_unweighted,131027,231582
metis,130115,281270
metis,124623,273708
metis,128074,275606
metis,130123,283388
metis,125197,269892
metis,126004,277401
metis,128493,276799
metis,129579,283446
grid,128003,301333
grid,127847,300787
grid,127948,300837
grid,127790,300739
grid,127751,301052
grid,127603,300542
grid,127706,300644
grid,127560,300498
metis_unweighted,129010,279072
metis_unweighted,131615,282091
metis_unweighted,129623,284734
metis_unweighted,126676,283355
metis_unweighted,125774,279048
metis_unweighted,125597,275814
metis_unweighted,126670,279879
metis_unweighted,127243,280352
metis,128624,231819
metis,128626,228149
metis,128626,233771
metis,128612,229256
metis,128636,230545
metis,128627,229242
metis,128625,232423
metis,128624,227905
grid,128670,232574
grid,128600,232349
grid,128688,232695
grid,128582,232351
grid,128667,232560
grid,128579,232136
grid,128680,232758
grid,128534,232046
metis_unweighted,128614,232681
metis_unweighted,128622,228161
