method,core_n,n
metis,27562,48012
metis,27610,48118
metis,26577,47401
metis,27621,48689
metis,27285,47669
metis,27976,47530
metis,27647,48519
metis,26728,47809
grid,27448,85110
grid,27434,85075
grid,27372,84917
grid,27350,84694
grid,27323,84485
grid,27327,84432
grid,27364,85001
grid,27388,84993
metis_unweighted,26698,47658
metis_unweighted,28110,47496
metis_unweighted,27520,49301
metis_unweighted,27408,49968
metis_unweighted,26814,48476
metis_unweighted,27261,48195
metis_unweighted,27254,47837
metis_unweighted,27941,47406
metis,25795,64798
metis,25398,62960
metis,24809,62069
metis,24895,61181
metis,25691,63750
metis,26281,63351
metis,24970,63586
metis,26281,64035
grid,25605,68570
grid,25438,68520
grid,25587,68501
grid,25434,68520
grid,25605,68570
grid,25430,68513
grid,25587,68501
grid,25434,68520
metis_unweighted,26050,63841
metis_unweighted,25012,63246
metis_unweighted,26083,63538
metis_unweighted,25029,62387
metis_unweighted,25192,62729
metis_unweighted,25596,62981
metis_unweighted,25995,64238
metis_unweighted,25163,62317
metis,26231,52944
metis,26142,53392
metis,26141,53742
metis,26499,53896
metis,25603,52559
metis,26319,53047
metis,26172,52812
metis,26845,53882
grid,26568,68373
grid,26406,67867
grid,26406,68201
grid,26244,67695
grid,26244,67327
grid,26082,66821
grid,26082,67128
grid,25920,66622
metis_unweighted,25789,50781
metis_unweighted,26059,51112
metis_unweighted,26958,51666
metis_unweighted,26919,51719
metis_unweighted,26788,51547
metis_unweighted,25862,50730
metis_unweighted,26059,50915
metis_unweighted,25518,50184
metis,26257,54869
metis,27114,55454
metis,27762,56820
metis,27668,56774
metis,26552,54802
metis,27448,56795
metis,26167,54304
metis,26654,55145
grid,28526,68386
grid,28475,68291
grid,27081,65521
grid,26996,65388
grid,26848,65527
grid,26800,65436
grid,25488,62780
grid,25408,62653
metis_unweighted,26944,53697
metis_unweighted,26944,54579
metis_unweighted,26946,53395
metis_unweighted,26952,54639
metis_unweighted,26960,53901
metis_unweighted,26961,54415
metis_unweighted,26947,53547
metis_unweighted,26968,53136
metis,26144,42384
metis,24832,41090
metis,26144,42543
metis,24731,41329
metis,25870,42420
metis,24641,41182
metis,25925,42212
metis,24769,41151
grid,25508,69326
grid,25410,69138
grid,25410,68904
grid,25312,68716
grid,25452,69312
grid,25354,69124
grid,25354,68890
grid,25256,68702
metis_unweighted,25299,41549
metis_unweighted,25853,41931
metis_unweighted,26144,42054
metis_unweighted,24718,40589
metis_unweighted,25254,41100
metis_unweighted,25389,41290
metis_unweighted,24767,40655
metis_unweighted,25632,41633
metis,28165,67279
metis,27117,63406
metis,26768,63280
metis,27749,65996
metis,26872,64238
metis,26797,64092
metis,28018,66255
metis,27264,64495
grid,27470,71670
grid,27361,72012
grid,27384,71900
grid,27316,71638
grid,27207,71535
grid,27339,72101
grid,27349,71771
grid,27324,71459
metis_unweighted,27491,63451
metis_unweighted,27491,63996
metis_unweighted,26877,63094
metis_unweighted,27190,63802
metis_unweighted,27929,65108
metis_unweighted,27507,64402
metis_unweighted,26917,62292
metis_unweighted,27348,63816
metis,25081,53410
metis,26348,54307
metis,26257,54734
metis,25503,53145
metis,26568,54897
metis,25954,53337
metis,25160,52880
metis,25475,53853
grid,25970,66171
grid,25961,66147
grid,25770,65832
grid,25761,65785
grid,25846,65729
grid,25838,65765
grid,25604,65754
grid,25596,65803
metis_unweighted,25547,52399
metis_unweighted,25560,54828
metis_unweighted,25250,52605
metis_unweighted,25773,53410
metis_unweighted,25773,53497
metis_unweighted,26288,55744
metis_unweighted,25744,53866
metis_unweighted,26411,54129
metis,29533,59339
metis,29002,58656
metis,28101,58548
metis,27913,57087
metis,28556,58444
metis,28826,59064
metis,28708,58433
metis,28737,58957
grid,28815,70795
grid,28681,70443
grid,28680,70764
grid,28547,70413
grid,28785,70765
grid,28663,70425
grid,28664,70748
grid,28541,70407
metis_unweighted,28443,58260
metis_unweighted,28861,60055
metis_unweighted,28870,58703
metis_unweighted,27964,57547
metis_unweighted,29310,60426
metis_unweighted,28743,59147
metis_unweighted,28177,58013
metis_unweighted,29008,58523
metis,25078,52673
metis,26069,54719
metis,26494,54514
metis,25192,52196
metis,26494,53562
metis,26070,53434
metis,25045,52281
metis,25328,52771
grid,26368,66715
grid,25977,66441
grid,25996,66032
grid,25627,65947
grid,25806,66495
grid,25456,66329
grid,25437,65834
grid,25103,65702
metis_unweighted,25550,52913
metis_unweighted,25660,53958
metis_unweighted,26444,54694
metis_unweighted,26200,53881
metis_unweighted,26050,53253
metis_unweighted,25067,52212
metis_unweighted,25829,52681
metis_unweighted,24970,51850
metis,25256,56390
metis,25790,58427
metis,25235,58097
metis,24808,56244
metis,24637,56022
metis,25021,57094
metis,25754,58105
metis,25811,57378
grid,25317,65773
grid,25265,65710
grid,25323,65832
grid,25254,65693
grid,25315,65868
grid,25263,65696
grid,25324,65987
grid,25251,65680
metis_unweighted,24785,56374
metis_unweighted,25585,56831
metis_unweighted,24874,56639
metis_unweighted,26048,57629
metis_unweighted,25237,56211
metis_unweighted,25257,57072
metis_unweighted,25713,56056
metis_unweighted,24813,56581
